session_path,subject_id,session_id,trial,trial_uid,id,photostim_onset,photostim_power,photostim_duration,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,start_time,stop_time,presample_start_times,presample_stop_times,sample_start_times,sample_stop_times,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,right_lick_times,photostim_start_times,photostim_stop_times,trial_time_total,trialend_start_times,trialend_stop_times
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,55,55,54,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,369.3378,374.3443,369.8378,370.699,370.699,371.349,371.349,372.549,372.549,374.049,"372.8183, 372.9556, 373.1099, 373.2545, 373.3041, 373.3889, 373.5186, 373.6792, 373.8304, 373.9690, 374.1320, 374.2689",,,,5.00649999999996,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,56,56,55,1.897,5.500,0.5000,audio delay,1,right,no early,miss,0,0,377.0844,380.6826,377.5844,378.3317,378.3317,378.9817,378.9817,380.1817,380.1817,,380.5826,,378.9814,379.4814,3.598199999999963,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,57,57,56,1.915,5.500,0.5000,audio delay,1,left,no early,hit,0,0,382.5539,387.418,383.0539,383.8189,383.8189,384.4689,384.4689,385.6689,385.6689,387.1689,"385.8920, 386.0114, 386.1556, 386.2920, 386.4301, 386.4784, 386.5877, 386.7092, 386.8258, 386.9638, 387.0938, 387.2238, 387.3562",,384.4689,384.9689,4.864100000000008,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,58,58,57,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,389.8885,394.7147,390.3885,391.1883,391.1883,391.8383,391.8383,393.0383,393.0383,394.5383,"393.1887, 393.3183, 393.4562, 393.5909, 393.7259, 393.8750, 394.0073, 394.1446, 394.2793, 394.3854, 394.5141, 394.6411",,,,4.826199999999972,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,59,59,58,N/A,N/A,N/A,audio delay,1,right,no early,miss,0,0,398.957,402.5343,399.457,400.3573,400.3573,401.0073,401.0073,402.2073,402.2073,,402.4343,,,,3.5772999999999797,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,60,60,59,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,404.4139,409.2636,404.9139,405.652,405.652,406.302,406.302,407.502,407.502,409.002,,"407.7376, 407.8666, 408.0128, 408.1571, 408.2883, 408.4152, 408.5522, 408.6959, 408.8268, 408.9655, 409.1107, 409.2431",,,4.849699999999984,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,61,61,60,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,411.8204,416.8089,412.3204,413.1992,413.1992,413.8492,413.8492,415.0492,415.0492,416.5492,,"415.2829, 415.3965, 415.5535, 415.6921, 415.8134, 415.9495, 416.0707, 416.2015, 416.3448, 416.5014, 416.6273, 416.7616",,,4.988499999999988,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,62,62,61,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,419.3533,424.1728,419.8533,420.654,420.654,421.304,421.304,422.504,422.504,424.004,,"422.6468, 422.7626, 422.8864, 423.0317, 423.1901, 423.3139, 423.4640, 423.5935, 423.7251, 423.8714, 423.9978, 424.1203",,,4.819500000000005,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,63,63,62,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,426.7163,430.2839,427.2163,428.0602,428.0602,428.7102,428.7102,429.9102,429.9102,,,430.1839,,,3.567600000000027,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,64,64,63,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,432.3226,437.2996,432.8226,433.7058,433.7058,434.3558,434.3558,435.5558,435.5558,437.0558,"435.7736, 435.9095, 436.0421, 436.1845, 436.3284, 436.3646, 436.4610, 436.5946, 436.7167, 436.8485, 436.9845, 437.1149",,,,4.976999999999975,,
